lr: 0.0005
324: 0,0.0
325: 0,1.0
326: 1,0.0
327: 2,2.0
328: 2,2.0
329: 2,2.0
330: 1,1.0
331: 0,1.0
332: 2,2.0
333: 2,2.0
334: 0,1.0
335: 0,0.0
336: 0,0.0
337: 0,1.0
338: 2,2.0
339: 2,2.0
340: 0,0.0
341: 2,1.0
342: 2,2.0
343: 2,2.0
344: 2,2.0
345: 2,2.0
346: 2,2.0
347: 0,0.0
348: 2,2.0
349: 2,2.0
350: 2,2.0
351: 2,1.0
352: 2,0.0
353: 2,2.0
354: 2,2.0
355: 1,2.0
356: 2,2.0
357: 2,2.0
358: 2,2.0
359: 2,2.0
360: 2,2.0
361: 1,2.0
362: 0,0.0
363: 0,1.0
364: 1,1.0
365: 2,1.0
366: 2,1.0
367: 2,2.0
368: 0,0.0
369: 0,0.0
370: 2,2.0
371: 0,0.0
372: 2,2.0
373: 2,2.0
374: 2,2.0
375: 2,0.0
376: 2,1.0
377: 2,2.0
378: 2,2.0
379: 2,1.0
380: 2,1.0
381: 1,1.0
382: 0,1.0
383: 2,1.0
384: 2,1.0
385: 2,1.0
386: 2,1.0
387: 2,2.0
388: 0,1.0
389: 0,2.0
390: 2,1.0
391: 2,2.0
392: 1,2.0
393: 2,2.0
394: 0,1.0
395: 0,0.0
396: 0,1.0
397: 0,1.0
398: 0,1.0
399: 2,2.0
400: 2,2.0
401: 2,0.0
402: 2,2.0
403: 1,1.0
404: 2,2.0
405: 0,1.0
406: 2,2.0
407: 0,0.0
408: 0,0.0
409: 0,0.0
410: 2,2.0
411: 2,2.0
412: 2,2.0
413: 2,2.0
414: 2,2.0
415: 2,2.0
416: 2,1.0
417: 2,1.0
418: 2,1.0
419: 2,2.0
420: 2,2.0
421: 0,0.0
422: 1,2.0
423: 1,2.0
424: 1,2.0
425: 0,0.0
426: 0,0.0
427: 0,0.0
428: 2,2.0
429: 2,2.0
430: 2,2.0
431: 2,2.0
432: 2,2.0
433: 1,1.0
434: 1,1.0
435: 1,1.0
436: 1,1.0
437: 2,2.0
438: 0,2.0
439: 0,1.0
440: 0,1.0
441: 2,0.0
442: 2,0.0
443: 1,1.0
444: 1,1.0
445: 0,2.0
446: 0,1.0
447: 2,2.0
448: 0,0.0
449: 0,1.0
450: 0,1.0
451: 0,0.0
452: 2,2.0
453: 2,2.0
454: 1,1.0
455: 1,1.0
456: 0,0.0
457: 0,1.0
458: 0,1.0
459: 0,1.0
460: 0,1.0
461: 0,1.0
462: 0,1.0
463: 2,0.0
464: 0,1.0
465: 0,0.0
466: 1,0.0
467: 1,0.0
468: 2,2.0
469: 2,2.0
470: 2,2.0
471: 1,2.0
472: 2,0.0
473: 1,2.0
474: 0,0.0
475: 0,1.0
476: 2,2.0
477: 2,2.0
478: 2,1.0
479: 2,2.0
480: 2,2.0
481: 2,2.0
482: 2,1.0
483: 0,2.0
484: 0,1.0
485: 0,2.0
486: 0,2.0
487: 2,0.0
488: 0,0.0
489: 2,2.0
490: 2,2.0
491: 2,2.0
492: 2,1.0
493: 1,1.0
494: 1,1.0
495: 1,1.0
496: 1,1.0
497: 1,1.0
498: 2,0.0
499: 2,1.0
500: 2,1.0
501: 0,1.0
502: 0,1.0
503: 0,1.0
504: 2,0.0
505: 2,2.0
506: 2,2.0
507: 2,2.0
508: 2,2.0
509: 1,2.0
510: 0,1.0
511: 0,2.0
512: 0,1.0
513: 2,1.0
514: 2,1.0
515: 1,1.0
516: 2,2.0
517: 0,1.0
518: 0,1.0
519: 0,0.0
520: 0,1.0
521: 1,1.0
522: 1,1.0
523: 1,1.0
524: 0,1.0
525: 0,0.0
526: 0,0.0
527: 0,0.0
528: 0,1.0
529: 2,2.0
530: 0,0.0
531: 2,1.0
532: 2,1.0
533: 2,2.0
534: 0,0.0
535: 0,1.0
536: 0,1.0
537: 0,0.0
538: 0,2.0
539: 0,1.0
540: 2,1.0
541: 2,1.0
542: 1,2.0
543: 1,1.0
544: 1,1.0
545: 1,1.0
546: 1,1.0
547: 0,0.0
548: 2,1.0
549: 2,2.0
550: 2,2.0
551: 2,2.0
552: 2,2.0
553: 0,1.0
554: 0,0.0
555: 0,1.0
556: 2,1.0
557: 2,1.0
558: 2,2.0
559: 2,2.0
560: 2,0.0
561: 2,2.0
562: 2,2.0
563: 2,2.0
564: 2,2.0
565: 0,1.0
566: 0,0.0
567: 0,1.0
568: 0,1.0
569: 2,2.0
570: 2,2.0
571: 2,2.0
572: 2,2.0
573: 2,2.0
574: 2,2.0
575: 2,2.0
576: 2,2.0
577: 2,2.0
578: 2,2.0
579: 2,2.0
580: 2,2.0
581: 0,1.0
582: 1,1.0
583: 2,0.0
584: 2,0.0
585: 2,2.0
586: 2,2.0
587: 2,0.0
588: 2,0.0
589: 2,0.0
590: 0,1.0
591: 0,0.0
592: 2,1.0
593: 1,1.0
594: 1,1.0
595: 1,1.0
596: 1,1.0
597: 2,2.0
598: 2,2.0
599: 2,2.0
600: 0,1.0
601: 2,2.0
602: 2,0.0
603: 2,1.0
604: 2,0.0
605: 2,2.0
606: 2,2.0
607: 2,2.0
608: 2,2.0
609: 2,2.0
610: 0,0.0
611: 0,0.0
612: 1,1.0
613: 1,2.0
614: 0,1.0
615: 0,1.0
616: 2,1.0
617: 2,2.0
618: 0,1.0
619: 0,0.0
620: 0,0.0
621: 2,1.0
622: 2,1.0
623: 2,2.0
624: 2,2.0
625: 2,0.0
626: 2,2.0
627: 2,2.0
628: 2,2.0
629: 2,2.0
630: 2,2.0
631: 2,2.0
632: 0,2.0
633: 0,1.0
634: 0,1.0
635: 0,1.0
636: 0,2.0
637: 0,2.0
end ans -----------------------------------------------------------------
